id	quality	length
1stat98	0.9384615384615385	78
2-2stat287	0.9841596130592503	9846
2-2stat299	0.9491525423728814	144
2-2stat299-1	0.9242424242424242	153
2-2stat300	0.9936102236421726	735
2-2stat301	0.9884259259259259	503
2-2stat302	0.9851351351351352	840
2-2stat305	0.9880952380952381	10596
2-2stat318	1.0	140
2-2stat318-1	0.9875776397515528	194
2-2stat318-2	0.994410569105691	2304
2-2stat324	0.963302752293578	132
2-2stat324-1	0.9871244635193133	277
2-2stat324-2	0.9898348157560356	909
2-2stat325	0.9862385321100917	2533
2-2stat329	0.9940119760479041	2343
2-2stat332	0.9405797101449276	852
2-2stat333	0.9318181818181818	155
2-2stat333-1	0.9869631901840491	1477
2-2stat335	0.9820193637621023	820
2-2stat336	0.9844357976653697	1183
2-2stat338	0.9637681159420289	163
2-2stat338-1	0.9858156028368794	333
2-2stat339	0.973568281938326	274
2-2stat339-1	0.978523489932886	858
2-2stat340	0.9603174603174603	147
2stat226	0.9761904761904762	140
2stat226-1	0.9863481228668942	1683
2stat229	0.9753694581280788	229
2stat229-1	0.9897435897435898	232
2stat229-2	0.9756468797564688	2237
2stat232	0.9866844207723036	5449
2stat239	0.9779527559055118	1429
2stat241	0.971830985915493	1652
2stat243	0.96875	307
2stat243-1	0.9671314741035857	1181
2stat245	0.9849397590361446	395
2stat246	0.9607843137254902	119
2stat251	0.9632352941176471	329
2stat251-1	0.9800995024875622	223
2stat252	0.9619047619047619	236
2stat252-1	0.9920318725099602	849
2stat253	0.9845360824742269	237
2stat254	0.9482114255205553	2097
2stat257	0.9907773386034255	867
2stat258	0.9910112359550561	512
2stat259	0.9694584382871536	3861
2stat264	0.9780509218612818	1318
2stat265	0.9698681732580038	627
2stat266	0.9650924024640657	567
2stat267	0.8507462686567164	83
2stat267-1	0.980110497237569	3090
2stat271	0.9726394849785408	2180
2stat275	0.918918918918919	263
2stat275-1	0.9627682873412177	2585
2stat279	0.9938744257274119	1495
2stat281	0.9857040743388135	1608
2stat283	0.9376854599406528	387
2stat284	0.926605504587156	122
2stat284-1	0.9566929133858267	875
2stat285	0.9898734177215189	452
3-2stat403	0.9308755760368663	252
3-2stat403-1	0.9318181818181818	205
3-2stat404	0.9390862944162437	223
3-2stat404-1	0.9305555555555556	169
3-2stat404-2	0.9232456140350878	538
3-2stat405	0.926450742240216	1750
3-2stat408	0.924802110817942	898
3-2stat409	0.9341317365269461	191
3-2stat409-1	0.921875	144
3-2stat410	0.9203980099502488	234
3-2stat410-1	0.9283018867924528	306
3-2stat410-2	0.9222222222222223	107
3-2stat411	0.9265905383360522	738
3-2stat411-1	0.9234550561797753	1654
3-2stat414	0.9148936170212766	164
3-2stat414-1	0.9295154185022027	1070
3-2stat415	0.9310344827586207	211
3-2stat416	0.9343434343434344	238
3-2stat416-1	0.9159561510353228	1077
3-2stat418	0.9385964912280702	274
3-2stat418-1	0.9169435215946844	352
3-2stat418-2	0.9266666666666666	176
3-2stat419	0.949238578680203	480
3-2stat419-1	0.925	152
3-2stat419-2	0.9009009009009009	551
3-2stat420	0.9272637308263236	2365
3-2stat423	0.9464285714285714	201
3-2stat423-1	0.9	139
3-2stat424	0.9332763045337895	1372
3-2stat425	0.9137055837563451	227
3-2stat426	0.9238578680203046	242
3-2stat426-1	0.9270833333333334	107
3-2stat426-2	0.9287144573488186	2880
3-2stat430	0.9342379958246346	2379
3-2stat433	0.9276350288411117	4472
3-2stat438	0.9199457259158752	858
3-2stat439	0.9218274111675127	1135
3-2stat441	0.926605504587156	768
3-2stat442	0.9247606019151847	799
3-2stat443	0.9283276450511946	350
3-2stat443-1	0.9393939393939394	118
3-2stat443-2	0.9194805194805195	426
3-2stat444	0.9313725490196079	122
3stat341	0.9651162790697675	105
3stat341-1	0.9435215946843853	341
3stat342	0.9285714285714286	227
3stat342-1	0.9335593220338984	1724
3stat345	0.9163636363636364	324
3stat345-1	0.9300699300699301	164
3stat345-2	0.917989417989418	446
3stat346	0.9190371991247265	543
3stat347	0.9321739130434783	685
3stat350	0.9446254071661238	1146
3stat351	0.9313725490196079	115
3stat352	0.9273127753303965	525
3stat352-1	0.9347079037800687	342
3stat353	0.9318181818181818	152
3stat353-1	0.9473684210526315	292
3stat353-2	0.9192825112107623	519
3stat354	0.9295418641390205	7753
3stat366	0.9243498817966903	511
3stat367	0.9617834394904459	186
3stat367-1	0.9319852941176471	651
3stat368	0.9156010230179028	432
3stat368-1	0.9295039164490861	439
3stat369	0.9222222222222223	103
3stat369-1	0.9266547406082289	648
3stat370	0.9252336448598131	131
3stat370-1	0.9122807017543859	66
3stat370-2	0.9389312977099237	296
3stat371	0.9234338747099768	505
3stat372	0.9447236180904522	228
3stat372-1	0.941908713692946	287
3stat372-2	0.9321608040201005	447
3stat373	0.9356060606060606	309
3stat373-1	0.9327563249001332	1769
3stat376	0.9323943661971831	424
3stat376-1	0.9187817258883249	220
3stat376-2	0.933954933954934	1516
3stat378	0.9363925488414357	2617
3stat381	0.9326072157930565	1624
3stat384	0.9272082878953108	4298
3stat390	0.9273743016759777	413
3stat390-1	0.918918918918919	175
3stat390-2	0.9341825902335457	1200
3stat392	0.9369369369369369	125
3stat392-1	0.9266409266409267	294
3stat393	0.950381679389313	324
3stat393-1	0.9411764705882353	143
3stat393-2	0.9285714285714286	197
3stat394	0.9228395061728395	362
3stat394-1	0.9315068493150684	763
3stat395	0.914918414918415	1026
3stat397	0.932282793867121	2747
3stat400	0.9074074074074074	64
3stat400-1	0.9153846153846154	148
3stat400-2	0.9117647058823529	235
3stat401	0.9318181818181818	51
3stat401-1	0.917910447761194	153
3stat401-2	0.9248366013071896	356
3stat402	0.9210526315789473	85
3stat402-1	0.9215686274509803	111
4-2stat496	0.9396551724137931	137
4-2stat496-1	0.9439461883408071	537
4-2stat497	0.9204545454545454	104
4-2stat497-1	0.9484536082474226	117
4-2stat497-2	0.9113924050632911	183
4-2stat498	0.9291338582677166	316
4-2stat498-1	0.9338541666666667	2248
4-2stat502	0.9275634995296331	1416
4-2stat503	0.924187725631769	680
4-2stat504	0.9315960912052117	744
4-2stat505	0.9163498098859315	308
4-2stat506	0.9286926994906621	706
4-2stat507	0.948051948051948	279
4-2stat507-1	0.96875	79
4-2stat507-2	0.9264705882352942	577
4-2stat508	0.925	636
4-2stat509	0.9438596491228071	351
4-2stat509-1	0.917420132610006	2149
4-2stat512	0.9289558665231432	1086
4-2stat516	0.9212328767123288	337
4-2stat516-1	0.918918918918919	176
4-2stat516-2	0.9217391304347826	137
4-2stat517	0.9279279279279279	258
4-2stat517-1	0.9420765027322404	1107
4-2stat519	0.8953488372093024	103
4stat445	0.932013201320132	1775
4stat448	0.9351351351351351	444
4stat448-1	0.9393939393939394	767
4stat449	0.9207920792079208	244
4stat450	0.9222222222222223	211
4stat450-1	0.9393939393939394	341
4stat450-2	0.925984251968504	709
4stat451	0.9349593495934959	154
4stat452	0.9458128078817734	240
4stat452-1	0.9115853658536586	1158
4stat453	0.9222222222222223	332
4stat454	0.9243203526818515	3691
4stat458	0.9185905224787363	960
4stat459	0.9081081081081082	213
4stat459-1	0.9419354838709677	181
4stat460	0.9113924050632911	176
4stat460-1	0.9107142857142857	338
4stat461	0.9300341296928327	686
4stat461-1	0.9404761904761905	498
4stat462	0.9385964912280702	273
4stat463	0.9368421052631579	335
4stat463-1	0.9495798319327731	277
4stat463-2	0.9212598425196851	298
4stat464	0.9223300970873787	246
4stat464-1	0.9256605463502016	2610
4stat469	0.9234222339582783	4476
4stat474	0.9	111
4stat474-1	0.937984496124031	158
4stat475	0.9391304347826087	261
4stat475-1	0.923728813559322	433
4stat476	0.9290681502086231	856
4stat477	0.9332740213523132	1321
4stat478	0.9350210970464135	2793
4stat482	0.9314641744548287	757
4stat483	0.9226348364279399	2811
4stat486	0.9242424242424242	466
4stat487	0.9343434343434344	702
4stat488	0.9278846153846154	252
4stat488-1	0.9295478443743428	1104
4stat489	0.9072164948453608	566
4stat490	0.9302600472813238	988
4stat491	0.9530516431924883	247
4stat492	0.9336283185840708	267
4stat492-1	0.968	290
4stat493	0.9192139737991266	538
4stat493-1	0.9319727891156463	696
4stat494	0.9285714285714286	237
4stat495	0.9477611940298507	164
4stat495-1	0.9346733668341709	237
5-2stat536	0.935672514619883	218
5-2stat536-1	0.9166666666666666	302
5-2stat537	0.9666666666666667	111
5-2stat537-1	0.9300998573466477	1639
