id	score	length
1-3stat189-1	-0.6067189486884452	2777
1-3stat190	-0.5812732383144475	1059
1-3stat190-1	-0.6045567506124411	4031
1-3stat191	-0.5971423953605097	895
1-3stat191-1	-0.5938180603220697	947
1-3stat191-2	-0.641616396813232	683
1-3stat191-3	-0.5729263222837506	28555
1-3stat196	-0.5862893711092613	3022
1-3stat197	-0.5814623542350879	5633
1-3stat198	-0.5843500614678437	1862
1-3stat198-1	-0.6156400936638903	499
1-3stat199	-0.5705044760851198	92317
1-3stat214	-0.5857932952206648	2399
1-3stat214-1	-0.572391979483505	2137
1-3stat215	-0.5558108993337523	3879
1-3stat215-1	-0.5711745473041986	719
1-3stat216	-0.5826660518476446	2022
1-3stat216-1	-0.5679641608905075	1330
1-3stat216-2	-0.5797784867002157	6955
1-3stat218	-0.5910462643963997	1453
1-3stat218-1	-0.587534319733189	2859
1-3stat218-2	-0.5790845659705295	2564
1-3stat219	-0.548321806376198	10747
1-3stat221	-0.5717381903465758	7520
1-3stat222	-0.5858291281614786	12850
1-3stat224	-0.5793190858422256	1025
1-3stat225	-0.5672728316819979	727
1-3stat225-1	-0.5866893659319197	700
1-3stat225-2	-0.5560445173071065	872
1-3stat225-3	-0.5778508994589832	1587
1stat23	-0.6073131131684399	7237
1stat24	-0.6717213495475299	15222
1stat27	-0.6684640371985173	3659
1stat28	-0.5890744937363491	11904
1stat29	-0.6036963312037577	121777
1stat50	-0.5893328436886839	26502
1stat53	-0.6225701172077166	9661
1stat54	-0.642419546437432	1839
1stat55	-0.5816989403506075	61807
1stat65	-0.6155707227323952	12312
1stat67	-0.6386872158785237	4647
1stat68	-0.5788117047269162	6184
1stat69	-0.6120602473159509	4075
1stat70	-0.6368344170706612	1344
1stat70-1	-0.5994579878752552	10776
1stat72	-0.6171216968428148	2573
1stat72-1	-0.5858748722149607	1303
1stat73	-0.6080431666046261	77906
1stat93	-0.610452752838811	3385
1stat94	-0.6312673640123663	3740
1stat95	-0.6405263756583024	1614
1stat95-1	-0.6331059054762489	1146
1stat95-2	-0.598910586203356	4261
1stat96	-0.6155431794044331	10681
1stat96-1	-0.600649957587249	685
