,terms,Popular_count,Founders_count,Legal_count,Total_count,Popular,Founders,Legal
32,age,22404,5420,3729,31553,0.5746947071328762,0.16471228799936113,0.26059300486776266
33,agree,5111,7088,5434,17633,0.18052250831258143,0.2965953017733074,0.5228821899141113
34,agreement,3318,3514,1957,8789,0.2589637966004891,0.3249222927311689,0.41611391066834197
35,aid,5639,10314,16271,32224,0.09068007303205067,0.19649521263198486,0.7128247143359644
36,all,357345,202846,86157,646348,0.4293051604626058,0.28870873731893604,0.2819861022184581
37,alliance,2728,4756,843,8327,0.25593095008148686,0.5286099930245276,0.2154590568939855
38,alone,15562,8850,2048,26460,0.4920608182711488,0.33152151949578,0.17641766223307115
39,also,61156,54334,20877,136367,0.33528105988442625,0.3529041026338066,0.3118148374817671
40,alter,2177,1628,2158,5963,0.21803114029757298,0.19316550674242472,0.5888033529600022
41,ambassadors,913,1024,304,2241,0.3090362520428639,0.41063284806342437,0.2803308998937118
42,amendment,1479,1788,6901,10168,0.06603316698112247,0.09457504296663838,0.8393917900522392
43,amendments,1332,2308,5193,8833,0.07313158826200093,0.1501245315361826,0.7767438802018165
44,america,31310,50110,7425,88845,0.28231538085905694,0.5352922489616289,0.18239237017931412
45,among,49427,28884,5404,83715,0.5024670040681328,0.34786898716350056,0.14966400876836644
46,an,259642,231836,109548,601026,0.31178993501260144,0.32982464283055063,0.3583854221568478
47,and,2974212,1596026,989780,5560018,0.3933344521054429,0.25006050754911713,0.35660504034544005
48,another,44491,31698,9692,85881,0.41025060814246866,0.3462772878997461,0.24347210395778532
49,answer,22747,35894,5782,64423,0.2807463413314423,0.5248399871719962,0.19441367149656152
50,any,203149,201598,159242,563989,0.23195486892222114,0.2727031180526654,0.4953420130251134
51,appellate,74,84,183,341,0.11010797076957858,0.14807488543490654,0.7418171437955149
52,application,6273,12818,4585,23676,0.1847731187801936,0.44729994945566165,0.36792693176414487
53,appoint,3041,5778,7633,16452,0.09911650320398724,0.2231116095761476,0.6777718872198653
54,appointed,15759,19198,24505,59462,0.14971104075358102,0.21607088032940702,0.634218078917012
55,appointment,3954,14876,4322,23152,0.11855220041116682,0.5284138643601132,0.35303393522872006
56,appointments,659,3606,802,5067,0.09260818376266568,0.600350331446936,0.30704148479039844
57,apportioned,104,244,574,922,0.053147096088514,0.14772401645834607,0.79912888745314
58,appropriation,473,1316,1689,3478,0.07130503934299208,0.23503365398321255,0.6936613066737954
59,appropriations,316,1026,1702,3044,0.05122950678460136,0.19705866347932338,0.7517118297360752
60,approve,2413,4416,932,7761,0.23694528532630937,0.5137299607465335,0.24932475392715706
61,approved,3168,4296,3127,10591,0.1888354566469161,0.30337355633740576,0.5077909870156783
62,are,396850,327170,83298,807318,0.39238272207863073,0.38324107095701765,0.22437620696435173
63,arising,3534,3162,3631,10327,0.20579895182287708,0.21814916699919962,0.5760518811779233
64,armies,4095,3624,922,8641,0.3756796096212926,0.3938827731460498,0.23043761723265763
65,arming,314,770,468,1552,0.1255389062008432,0.3647157324811948,0.509745361317962
66,arms,17405,15020,4780,37205,0.36093681667276756,0.3690134270366434,0.270049756290589
67,army,17906,53574,11623,83103,0.1584028265024558,0.5614789770848785,0.28011819641266583
68,arrest,992,1904,922,3818,0.17223627108845693,0.391647146274982,0.43611658263656117
69,arsenals,73,324,201,598,0.0726774709091777,0.3821527913300895,0.5451697377607329
70,article,9960,15224,7564,32748,0.2049258895400469,0.3710917897482423,0.4239823207117108
71,articles,11195,19496,8497,39188,0.19489615090490053,0.4021052657761136,0.40299858331898586
