term,jsd,count_early,count_modern,neighbours,scaled_jsd
branch,0.6562031400431024,1782,2218,2528,0.5363924050632911
between,0.5625145115754399,820,3180,155,0.535483870967742
new jersey,0.6558056005746622,2156,1844,2467,0.535468179975679
grievances,0.6970235464416262,2736,1264,3606,0.5352190793122573
states,0.6072408487392479,2026,1974,512,0.53515625
bound,0.6498451029377271,2328,1672,1945,0.5347043701799485
admiralty,0.6903917691336084,3728,272,3778,0.5346744309158284
domestic,0.6567600084697347,478,3522,2619,0.5345551737304315
privileged,0.6984477051685463,502,3498,3526,0.5328984685195689
fact,0.6089861309780271,434,3566,582,0.5309278350515464
case,0.5948492937469249,1511,2489,319,0.5297805642633229
age,0.6053791099146559,778,3222,534,0.5280898876404494
original,0.6377673140940019,1085,2915,1404,0.5277777777777778
justice,0.625617722145305,2006,1994,929,0.527448869752422
our,0.5410221401205979,1751,2249,74,0.527027027027027
petition,0.6495645379281823,3602,398,2091,0.5265423242467718
out,0.5660039890576928,596,3404,57,0.5263157894736842
having,0.5949272458857607,1932,2068,333,0.5255255255255256
answer,0.6238164141136383,1771,2229,786,0.5254452926208651
included,0.6357172169220745,315,3685,1322,0.5242057488653555
effect,0.6234502847617125,1347,2653,815,0.5226993865030675
impeachment,0.6930854305257227,2453,1547,3613,0.5220038748962081
with,0.5694556946337113,1087,2913,23,0.5217391304347826
session,0.6501149328147589,1695,2305,2220,0.5216216216216216
ports,0.663230633312306,3101,899,3190,0.5203761755485894
may,0.539797806152982,2081,1919,79,0.5189873417721519
profit,0.6555164456575593,1027,2973,2665,0.5181988742964353
public use,0.7577826156809774,523,262,992,0.5181451612903226
contracted,0.6798162706885799,2431,1569,3833,0.518132011479259
inspection,0.6736823440456158,1508,2492,3727,0.5162328950898847
respect,0.6251549915342406,2524,1476,866,0.5161662817551963
imminent,0.692575335331837,929,3071,3524,0.5150397275822929
speaker,0.6573034887499957,1522,2478,2923,0.5148819705781731
favor,0.6284184423665495,2781,1219,1150,0.5147826086956522
virginia,0.6336517713209542,2150,1850,1319,0.5140257771038665
forfeiture,0.7025484584772387,2716,398,3147,0.5128693994280267
question,0.6046904647458603,1105,2895,585,0.5128205128205128
corruption,0.6647784970487185,1496,2504,3360,0.512797619047619
admitted,0.6513154294354214,2022,1978,2506,0.5111731843575419
counsel,0.6626520768932067,1473,2527,3254,0.5107559926244623
liable,0.6629576525912321,3405,595,3277,0.5102227647238328
department,0.6203707088079937,788,3212,789,0.5095057034220533
prejudice,0.6727996490578753,2396,1604,3772,0.5092788971367974
criminal,0.6483929775220274,892,3108,2353,0.5091372715682108
advice,0.6411169294712158,1640,2360,1859,0.507799892415277
exceeding,0.6647395917976555,3475,525,3398,0.5073572689817539
certificates,0.6626928147584075,3434,566,3315,0.5064856711915535
authority,0.6219757428400214,2514,1486,908,0.5055066079295154
duty,0.6251780544984906,3063,937,1095,0.5031963470319635
militia,0.6479085388119629,3524,476,2429,0.5022643062988884
reconsidered,0.7517063579624215,325,573,1125,0.5022222222222222
end,0.5905958164918106,842,3158,323,0.5015479876160991
appointments,0.672414102209593,1956,2044,3834,0.4945226917057903
controversy,0.6619914816009417,1261,2739,3463,0.4909038406006353
searches,0.6846091315006221,310,3690,3563,0.490036486107213
informed,0.6344851855199222,2640,1360,1745,0.4899713467048711
maryland,0.6419960575934401,2330,1670,2251,0.48956019546868057
holding,0.6322018255534967,651,3349,1596,0.4893483709273183
whereof,0.6668943279967348,3950,50,3779,0.4874305371791479
call,0.5962452496904146,742,3258,499,0.48697394789579157
this,0.5590868213949183,1438,2562,37,0.4864864864864865
absent,0.661734821510222,1800,2200,3508,0.4846066134549601
full,0.5953095435492848,1109,2891,483,0.4824016563146998
posterity,0.6716490207027738,3570,430,3809,0.48096613284326595
over,0.5427201794207227,511,3489,104,0.4807692307692308
demand,0.6332652628395523,1329,2671,1762,0.4807037457434733
signed,0.6363454431099692,1303,2697,1938,0.4803921568627451
as,0.5688211315727448,1190,2810,25,0.48
navy,0.6474302408245828,1222,2778,2783,0.4786201940352138
law,0.5828078623004508,1775,2225,322,0.4782608695652174
laid,0.6223823171282112,2871,1129,1219,0.4782608695652174
private,0.6114108361266429,1201,2799,792,0.4772727272727273
naval,0.6558866676838854,2402,1598,3361,0.4769413864921154
providence,0.647140958136103,3383,617,2872,0.4752785515320334
