term,jsd,count_early,count_modern,neighbours,scaled_jsd
2010,0.9612083700929311,3,3997,1970,0.9827411167512691
crucial,0.9709507538743656,1,3999,3124,0.9827144686299616
evaluation,0.9738984209587586,2,3998,2934,0.9826175869120655
optimism,0.970866817786639,2,3998,3665,0.982537517053206
orli,0.9971143665323381,4,54,57,0.9824561403508771
snacks,0.9758464169479196,16,2629,2881,0.982297813259285
tiny,0.9646057416709987,7,3993,2031,0.982274741506647
employees,0.9582533478853157,1,3999,1974,0.9822695035460993
plastic,0.9701540057570442,5,3995,2308,0.9822357019064125
chute,0.9793601321615574,24,1331,1679,0.9821322215604527
mao,0.9766359877648918,14,2140,2491,0.9819349658771578
cultures,0.9708665124082403,4,3996,3354,0.9818127608825283
crap,0.9745003591716174,10,3175,3180,0.9817610062893082
zoo,0.9680149326698176,70,3930,3753,0.9816147082334132
scored,0.9683471676458831,8,3992,3180,0.9814465408805031
cso,0.986970937202847,3,292,377,0.9814323607427056
barneys,0.9842583177755518,3,629,803,0.9813200498132005
coded,0.9705757897182217,4,3996,3621,0.9812206572769953
1998,0.9570171382422913,2,3998,1967,0.9811896288764617
atomic,0.9691923010985074,3,3997,3680,0.9809782608695652
2015,0.9675215312324059,6,3994,3203,0.9809553543552919
tracking,0.9663075897175675,5,3995,3867,0.9808637186449444
shopping,0.9692332020230696,3,3997,2971,0.9808145405587344
liner,0.9750799410294493,7,2472,2761,0.9808040565012677
cola,0.9723667627872679,33,3563,3384,0.9807919621749409
braves,0.9675654003514643,84,3916,3736,0.9807280513918629
just,0.6910779645074004,307,3693,103,0.9805825242718447
seep,0.9821386587396347,13,669,863,0.9803012746234068
recession,0.9674158776286543,7,3993,3805,0.9802890932982917
careers,0.9671244252578378,2,3998,3827,0.9801411026914032
car,0.8935488353877034,52,3948,703,0.9800853485064012
overlapping,0.9722936594765459,4,2538,2808,0.98005698005698
terrain,0.9660185234217994,2,3998,3853,0.9800155722813392
options,0.9676725793455851,1,3999,2630,0.9798479087452472
portfolio,0.9641121067865739,4,3996,3864,0.9798136645962733
situate,0.9664118783539128,3819,181,3658,0.9797703663203936
problems,0.8891423130158389,5,3995,879,0.9795221843003413
environ,0.977737437154772,55,1479,1900,0.9794736842105263
area,0.8825813354692967,12,3988,681,0.9794419970631424
adolescent,0.9673854389071389,1,3999,3741,0.9791499599037691
ramp,0.9703833749557585,14,3614,3391,0.9787673252727809
output,0.9664086937002603,1,3999,3797,0.978667368975507
flu,0.9668516109974062,70,3930,3650,0.9783561643835617
she,0.7482485935240394,332,3668,46,0.9782608695652174
aol,0.9685220512008826,52,3364,3300,0.9781818181818182
surveillance,0.961141788387469,7,3993,3849,0.9781761496492596
ca,0.8697773201863147,193,3807,499,0.9779559118236473
fuck,0.963823764679202,62,3938,3673,0.9779471821399401
roles,0.9570710158483287,31,3969,3029,0.9778804886101023
getty,0.9640359008764288,4,3996,3797,0.9778772715301554
aging,0.959171979312716,5,3995,3516,0.9778156996587031
flan,0.9854544986973401,16,197,270,0.9777777777777777
urban,0.9578109834432654,5,3995,2243,0.9777084262148907
