term,jsd,count_legal,count_popular,neighbours,scaled_jsd
progress,0.5114126540538126,667,3333,1876,0.6391257995735607
ex,0.5459520757501097,2471,991,3277,0.6389990845285322
hold,0.4881889201846289,1077,2923,903,0.6389811738648948
yards,0.5551156764124987,265,2680,3553,0.6360821840698002
within,0.474899529598936,2175,1825,239,0.6359832635983264
elector,0.6615473640485182,91,654,3396,0.6357479387514723
limb,0.6485339362205018,154,702,3676,0.6343852013057671
indian,0.4915425724690756,1293,2707,1280,0.634375
several,0.47277102076462024,1311,2689,243,0.6337448559670782
power,0.4754819645780076,1129,2871,161,0.6335403726708074
records,0.5283461970804639,2523,1477,2686,0.6332836932241251
acts,0.48923037888412313,1288,2712,992,0.6330645161290323
standard,0.5523609682543904,658,2357,3498,0.6309319611206403
end,0.4765010682708683,745,3255,469,0.6289978678038379
same,0.4666993808643864,898,3102,97,0.6288659793814433
accordingly,0.4906133664714635,1435,2565,1303,0.6285495011511896
press,0.5171311416771552,679,3321,2457,0.6275946275946276
enter,0.48850879358534605,1209,2791,1059,0.6270066100094429
over,0.46855614323134953,608,3392,268,0.6268656716417911
legislative,0.49919764722855625,2236,1764,1749,0.6260720411663808
perfect,0.4941189358757143,307,3693,1413,0.6256192498230715
by,0.5072980813861515,1263,2737,24,0.625
herein,0.49823615776099567,2880,1120,1639,0.6241610738255033
put,0.47487766403864157,705,3295,345,0.6231884057971014
new york,0.47323358417411,1437,2563,641,0.6224648985959438
discipline,0.5264080798158515,553,3447,2896,0.6208563535911602
owner,0.48834409628971026,1828,2172,1244,0.6205787781350482
trust,0.48675956988293584,794,3206,1121,0.6190900981266726
determined,0.4836543429504035,874,3126,1082,0.6182994454713494
shall,0.5027788941545893,1687,2313,47,0.6170212765957447
order,0.47201230562708096,1557,2443,232,0.6163793103448276
service,0.46765190467135515,1734,2266,614,0.6156351791530945
case,0.46744563923913607,1898,2102,260,0.6153846153846154
this,0.5317798896173827,1031,2969,26,0.6153846153846154
corruption,0.5229747697405368,541,3459,2892,0.6130705394190872
parts,0.4666232631719449,757,3243,624,0.6105769230769231
assembled,0.49549519581624457,2048,1952,1689,0.6098283007696862
absence,0.5157166497751239,1172,2828,2655,0.608286252354049
entitled,0.47705770700894135,3002,998,924,0.6082251082251082
testimony,0.49591314018129934,580,3420,1803,0.6073211314475874
rhode island,0.5039590650849913,2151,1849,2080,0.6067307692307692
we,0.5010724182080744,422,3578,48,0.6041666666666666
north carolina,0.49483587756183894,2896,1104,1769,0.6037309214245337
religious,0.4831893985872718,329,3671,1330,0.6007518796992481
affirm,0.5636213888334789,659,1609,3948,0.6005572441742655
training,0.6666428984403925,284,265,2734,0.6002194586686174
in,0.5204625629431685,1009,2991,5,0.6
tried,0.5030190756085816,1358,2642,2153,0.5996284254528564
speech,0.5014278411060038,1080,2920,2093,0.599617773530817
criminal,0.507206499896372,1275,2725,2511,0.5985663082437276
enemies,0.4758309365610611,518,3482,1073,0.5908667287977633
qualifications,0.5603362666995447,654,1555,3963,0.5907141054756497
petition,0.4632789396447972,3257,743,644,0.5900621118012422
excessive,0.5569428004474435,227,2040,3947,0.5890549784646567
south carolina,0.49018883595688395,2684,1316,1576,0.5881979695431472
prince,0.47794687847980083,492,3508,1329,0.5876598946576373
bear,0.4754269139775764,503,3497,1133,0.5869373345101501
land,0.45888578155684023,1268,2732,263,0.5855513307984791
seats,0.5644365044210015,462,1456,4096,0.5849609375
grant,0.47347706290368363,1957,2043,1040,0.5846153846153846
divided,0.49065683423778544,1379,2621,1769,0.5845110231769362
general,0.4627996914054843,1779,2221,101,0.5841584158415841
law,0.46650740210146446,1824,2176,197,0.583756345177665
bound,0.47104578859432933,960,3040,968,0.5836776859504132
created,0.511518949685584,786,3214,2911,0.5822741326004809
justice,0.4642162812337286,1090,2910,495,0.5818181818181818
having,0.4661738676605373,861,3139,215,0.5813953488372093
effects,0.4733603857113007,417,3583,1134,0.5811287477954145
before,0.4529753045934936,1231,2769,90,0.5777777777777777
credit,0.4708996004581257,1825,2175,987,0.5775075987841946
section,0.4897669673340268,2328,1672,1811,0.5764770844837107
nobility,0.5639739519948664,248,1596,4114,0.5763247447739427
those,0.4636942418887739,636,3364,94,0.574468085106383
either,0.46033672199216197,1175,2825,383,0.5744125326370757
times,0.45856580825669935,672,3328,640,0.5734375
suspended,0.5376233506107629,815,1935,3645,0.5722908093278464
branch,0.4869045479024623,1554,2446,1805,0.5717451523545707
authors,0.5176034524290806,298,3369,3185,0.5708006279434851
question,0.4544815223304181,2022,1978,624,0.5705128205128205
names,0.4818584483042379,1404,2596,1503,0.5701929474384564
extraordinary,0.4840137183241171,614,3386,1724,0.568445475638051
conviction,0.4971960610710844,805,3195,2525,0.5683168316831683
into,0.4717883268543195,950,3050,83,0.5662650602409639
expire,0.584590840858169,428,889,4174,0.5634882606612363
calling,0.494024080111585,976,3024,2431,0.5631427396133278
tribes,0.5121734189799579,925,2874,3118,0.5618986529826812
witnesses,0.4933267026053533,1509,2491,2298,0.5613577023498695
swear,0.5159335801692779,1026,2429,3282,0.5591102985984155
virginia,0.4610479353396905,2096,1904,857,0.558926487747958
crimes,0.4926322184216062,1020,2980,2247,0.5585224744103249
provided,0.4498511079277324,2618,1382,660,0.55
plantations,0.49584130779285596,1212,2788,2834,0.547635850388144
