term,jsd,count_legal,count_popular,neighbours,scaled_jsd
musk,0.9950746539060427,5,230,1238,0.9903069466882067
arid,0.9341391771669582,1463,22,4207,0.9902543380080817
ev,0.8832329624626227,239,3761,2862,0.9902166317260657
isa,0.9488004077876392,124,922,3976,0.9901911468812877
drops,0.924313105540628,4,2123,4001,0.9900024993751562
lad,0.9170839849406064,252,2417,3680,0.9899456521739131
aft,0.8946863388702131,3460,268,3149,0.989838043823436
starting,0.9637840951546879,7,644,3140,0.9898089171974522
tis,0.8133979408438304,191,3809,1274,0.9897959183673469
cures,0.9730712388898587,6,560,2803,0.9896539422047806
resurrection,0.9177267609574555,4,2423,3831,0.9895588619159489
colle,0.9226114809542187,2095,8,4016,0.9892928286852589
foam,0.9952951889236361,4,189,1018,0.9891944990176817
hat,0.8532839909942711,1132,2868,1935,0.9891472868217054
motte,0.9421825067240867,203,929,4050,0.9891358024691358
yea,0.8565316579059707,253,3747,2300,0.9891304347826086
cheeks,0.9359501300771136,15,1281,4171,0.9889714696715416
bliss,0.9107389511550641,44,2581,3706,0.9889368591473287
peel,0.9643449528198775,8,594,2956,0.9888362652232747
woe,0.9100866736987885,11,2727,3651,0.9887701999452205
nut,0.9573268423221409,190,477,3186,0.9887005649717514
ani,0.9507928154664318,843,23,3702,0.9886547811993517
nun,0.976941290961878,24,381,2110,0.9886255924170616
qr,0.9237410859570677,265,1661,4100,0.9885365853658536
fam,0.9631960150654455,289,329,3023,0.988422097254383
joys,0.8927486480208777,3,3300,3358,0.9883859440142942
aid,0.8019905058132586,2974,1026,774,0.9883720930232558
ena,0.8944313313236124,3177,7,3418,0.9882972498537156
cora,0.970878110849367,6,473,2445,0.9881390593047035
gay,0.8866239954747489,112,3600,3152,0.9879441624365483
tear,0.883863888880821,319,3339,3195,0.9877934272300469
convent,0.9322410226199219,13,1273,4166,0.9877580412866058
oblong,0.9747099805790548,5,418,2191,0.9876768598813327
tune,0.9265373909794662,97,1289,4182,0.9875657580105213
fluid,0.9292240359778743,8,1255,4162,0.9872657376261412
ay,0.8005954452574999,3842,158,613,0.9869494290375204
fell,0.805541895073603,1103,2897,1144,0.9868881118881119
spell,0.9771048813613299,3,325,1723,0.9866511897852582
doom,0.925663777021872,19,1266,4164,0.9865513928914506
pan,0.9184204397676775,81,1621,4162,0.9865449303219606
flutes,0.995189564111259,3,96,518,0.9864864864864865
shod,0.9173204414384046,11,1754,4148,0.98625843780135
sauce,0.9345548093568948,10,1068,4001,0.9862534366408398
ift,0.936148105315729,904,7,3780,0.9862433862433863
fine,0.7908877223397173,839,3161,867,0.986159169550173
graver,0.9945854379738599,3,79,431,0.9860788863109049
oft,0.8827944611852718,527,2471,3514,0.9860557768924303
sights,0.9928708042527338,3,173,928,0.9859913793103449
sweet,0.8360111445122115,28,3972,1639,0.9859670530811471
kid,0.9781538923803907,78,218,1565,0.9859424920127795
jerusalem,0.8619796195514635,7,3993,2914,0.9852436513383666
pow,0.9054556096787348,240,1878,4010,0.9850374064837906
stuck,0.9605933956380056,6,509,2606,0.9850345356868765
fume,0.9740096159877062,310,45,1859,0.9849381387842926
faid,0.9151955371135773,1623,21,4179,0.9849246231155779
